Sample_ID	Confidence
0	0.1091
1	0.1061
2	0.1205
3	0.1128
4	0.1138
5	0.1122
6	0.1162
7	0.1082
8	0.1144
9	0.1084
10	0.1085
11	0.1136
12	0.1128
13	0.1178
14	0.1162
15	0.1155
16	0.1231
17	0.1222
18	0.1227
19	0.1205
20	0.1234
21	0.1266
22	0.1270
23	0.1201
24	0.1305
25	0.1340
26	0.1309
27	0.1317
28	0.1323
29	0.1380
30	0.1394
31	0.1351
32	0.1390
33	0.1364
34	0.1403
35	0.1393
36	0.1448
37	0.1421
38	0.1430
39	0.1383
40	0.1346
41	0.1415
42	0.1350
43	0.1498
44	0.1521
45	0.1520
46	0.1542
47	0.1507
48	0.1586
49	0.1602
50	0.1448
51	0.1633
52	0.1576
53	0.1508
54	0.1482
55	0.1454
56	0.1532
57	0.1430
58	0.1654
59	0.1745
60	0.1704
61	0.1715
62	0.1733
63	0.1629
64	0.1592
65	0.1506
66	0.1501
67	0.1515
68	0.1483
69	0.1300
70	0.1341
71	0.1466
72	0.1377
73	0.1521
74	0.1346
75	0.1483
76	0.1294
77	0.1338
78	0.1266
79	0.1439
80	0.1153
81	0.1174
82	0.1188
83	0.1566
84	0.1198
85	0.1260
86	0.1460
87	0.1503
88	0.1108
89	0.1163
90	0.1108
91	0.1229
92	0.1145
93	0.1167
94	0.1149
95	0.0972
96	0.0958
97	0.1003
98	0.1098
99	0.0939
100	0.0918
101	0.0968
102	0.0863
103	0.0933
104	0.0904
105	0.0841
106	0.0823
107	0.0832
108	0.0816
109	0.0802
110	0.0805
111	0.0778
112	0.0777
113	0.0752
114	0.0767
115	0.0758
116	0.0760
117	0.0743
118	0.0775
119	0.0766
120	0.0737
121	0.0733
122	0.0710
123	0.0684
124	0.0724
125	0.0736
